ADM2_EN,county,Sub_County,Ward,Latitude,Longitude,Report_Dat,Disease_Co,Species_Af,Number_at_,Number_Sick,Number_Dea,Number_Sla,Number_Des,Number_Hum,Number_Vac,Incidence
Ainabkoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ainamoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alego Usonga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Awendo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahati,Nakuru,Subukia,Kabazi,-0.1575164,36.1282293,5/17/2024,Rabies,Dogs,0,0,0,0,0,0,4,0
Balambala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baringo Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baringo North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baringo South,Baringo,Baringo South,Marigat,0.454953333,35.86435667,5/1/2024,Rabies,Dogs,40,2,1,0,1,0,0,0.047619048
Belgut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bobasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bomachoge Borabu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bomachoge Chache,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bomet Central,Bomet,Bomet Central,Mutarakwa,-0.7735254,35.258968,4/25/2024,Rabies,Cattle,3,1,0,0,0,0,3,0.25
Bomet Central,Bomet,Bomet Central,Mutarakwa,-0.7744216,35.2672059,8/26/2024,Rabies,Dogs,2,2,1,0,0,0,2,0.5
Bomet East,Bomet,Bomet East,Kipreres,-0.9303007,35.418832,1/1/2024,Rabies,Dogs,3,1,0,0,0,0,0,0.25
Bomet East,Bomet,Bomet East,Chemaner,-0.7971588,35.4828141,3/24/2024,Rabies,Dogs,16,1,0,0,0,1,0,0.058823529
Bonchari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bondo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borabu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budalangi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bumula,Bungoma,Bumula,Khasoko,0.5360053,34.4744053,1/2/2024,Rabies,Dogs,100,1,1,0,0,5,0,0.00990099
Bumula,Bungoma,Bumula,South Bukusu,0.4808534,34.5152756,12/12/2024,Rabies,Cattle,2,1,0,0,0,0,0,0.333333333
Bumula,Bungoma,Bumula,South Bukusu,0.4932541,34.5208159,5/23/2024,Rabies,Cattle,3,1,0,0,0,0,0,0.25
Bura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buret,Kericho,Belgut,Kabianga,-0.4872353,35.1239556,4/21/2024,Rabies,Cattle,10,1,0,0,0,1,0,0.090909091
Butere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buuri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cental Imenti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Changamwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
